"word","oldword","strokes","pinyin","radicals"
"嗄","嗄","13","á","口"
"吖","吖","6","ā","口"
"阿","阿","7","ā","阝"
"啊","啊","10","ā","口"
"锕","録","12","ā","钅"
"捱","捱","11","ái","扌"
"皑","皚","11","ái","白"
"癌","癌","17","ái","疒"
"嘼","嘼","10","ái",""
"嗳","噯","13","ài","口"
"艾","艾","5","ài","艹"
"爱","愛","10","ài","爫"
"砹","砹","10","ài","石"
"隘","隘","12","ài","阝"
"嗌","嗌","13","ài","口"
"嫒","嬡","13","ài","女"
"碍","祂","13","ài","石"
"暧","曖","14","ài","日"
"瑷","璦","14","ài","王"
"鑠","鑠","12","ài",""
"瀏","瀏","10","ǎi",""
"矮","矮","13","ǎi","矢"
"蔼","藹","14","ǎi","艹"
"霭","靄","19","ǎi","雨"
"鰆","鰆","8","ǎi",""
"哎","哎","8","āi","口"
"哀","哀","9","āi","口"
"唉","唉","10","āi","口"
"埃","埃","10","āi","土"
"挨","挨","10","āi","扌"
"锿","鎥","14","āi","钅"
"歡","歡","11","āi","欠"
"犴","犴","6","àn","犭"
"岸","岸","8","àn","山"
"按","按","9","àn","扌"
"案","案","10","àn","木"
"胺","胺","10","àn","月"
"豻","豻","12","àn",""
"暗","暗","13","àn","日"
"黯","黯","21","àn","黑"
"俺","俺","10","ǎn","亻"
"唵","唵","11","ǎn","口"
"埯","埯","11","ǎn","土"
"铵","銨","11","ǎn","钅"
"揞","揞","12","ǎn","扌"
"鹌","鵪","13","ān","鸟"
"鞍","鞍","15","ān","革"
"安","安","6","ān","宀"
"桉","桉","10","ān","木"
"氨","氨","10","ān","气"
"庵","庵","11","ān","广"
"谙","謔","11","ān","讠"
"媕","媕","12","ān","女"
"膚","膚","13","ān","月"
"昂","昂","8","ánɡ","日"
"盎","盎","10","ànɡ","皿"
"肮","骯","8","ānɡ","月"
"敖","敖","10","áo","攵"
"嗷","嗷","13","áo","口"
"廒","廒","13","áo","广"
"獒","獒","14","áo","犬"
"遨","遨","13","áo","辶"
"熬","熬","14","áo","灬"
"翱","翱","16","áo","羽"
"聱","聱","16","áo","耳"
"螯","螯","16","áo","虫"
"鳌","鰲","18","áo","鱼"
"鏖","鏖","19","áo","金"
"環","環","14","áo","王"
"耴","耴","10","áo",""
"坳","坳","8","ào","土"
"岙","巗","7","ào","山"
"傲","傲","12","ào","亻"
"奥","奥","12","ào","大"
"骜","驁","13","ào","马"
"澳","澳","15","ào","氵"
"懊","懊","15","ào","忄"
"鏊","鏊","18","ào","金"
"袄","襖","9","ǎo","衤"
"媪","媪","12","ǎo","女"
"凹","凹","5","āo","凵"
"跋","跋","12","bá","足"
"魃","魃","14","bá","鬼"
"拔","拔","8","bá","扌"
"茇","茇","8","bá","艹"
"菝","菝","11","bá","艹"
"坝","壩","7","bà","土"
"爸","爸","8","bà","父"
"罢","羣","10","bà","罒"
"鲅","鮡","13","bà","鱼"
"霸","霸","21","bà","雨"
"灞","灞","24","bà","氵"
"把","把","7","bǎ","扌"
"钯","鈠","9","bǎ","钅"
"靶","靶","13","bǎ","革"
"鲃","鲃","12","bā","鱼"
"八","八","2","bā","八"
"巴","巴","4","bā","巳"
"叭","叭","5","bā","口"
"扒","扒","5","bā","扌"
"吧","吧","7","bā","口"
"岜","岜","7","bā","山"
"芭","芭","7","bā","艹"
"疤","疤","9","bā","疒"
"捌","捌","10","bā","扌"
"笆","笆","10","bā","竹"
"粑","粑","10","bā","米"
"白","白","5","bái","白"
"败","敗","8","bài","贝"
"拜","拜","9","bài","手"
"稗","粺","13","bài","禾"
"百","百","6","bǎi","白"
"佰","佰","8","bǎi","亻"
"柏","栢","9","bǎi","木"
"捭","捭","11","bǎi","扌"
"摆","擺","13","bǎi","扌"
"掰","掰","12","bāi","手"
"産","産","8","baiwǎ",""
"办","辦","4","bàn","力"
"半","半","5","bàn","十"
"伴","伴","7","bàn","亻"
"扮","扮","7","bàn","扌"
"拌","拌","8","bàn","扌"
"绊","給","8","bàn","纟"
"瓣","瓣","19","bàn","瓜"
"湴","湴","11","bàn","氵"
"阪","阪","6","bǎn","阝"
"坂","坂","7","bǎn","土"
"板","板","8","bǎn","木"
"版","版","8","bǎn","片"
"钣","鈑","9","bǎn","钅"
"舨","舨","10","bǎn","舟"
"扳","扳","7","bān","扌"
"班","班","10","bān","王"
"般","般","10","bān","舟"
"颁","頲","10","bān","页"
"斑","斑","12","bān","文"
"搬","搬","13","bān","扌"
"瘢","瘢","15","bān","疒"
"癍","癍","17","bān","疒"
"鴛","鴛","12","bān",""
"蚌","蝝","10","bànɡ","虫"
"傍","傍","12","bànɡ","亻"
"棒","棒","12","bànɡ","木"
"谤","謗","12","bànɡ","讠"
"蒡","蒡","13","bànɡ","艹"
"镑","鎊","15","bànɡ","钅"
"绑","綁","9","bǎnɡ","纟"
"榜","榜","14","bǎnɡ","木"
"膀","髈","14","bǎnɡ","月"
"縭","縭","8","bānɡ",""
"邦","邦","6","bānɡ","阝"
"帮","幫","9","bānɡ","巾"
"梆","梆","10","bānɡ","木"
"浜","浜","10","bānɡ","氵"
"雹","雹","13","báo","雨"
"薄","薄","16","báo","艹"
"鲍","鮱","13","bào","鱼"
"报","報","7","bào","扌"
"抱","抱","8","bào","扌"
"豹","豹","10","bào","豸"
"暴","暴","15","bào","日"
"爆","爆","19","bào","火"
"瀑","瀑","18","bào","氵"
"宀","宀","11","bǎo",""
"寶","寶","12","bǎo",""
"宝","寳","8","bǎo","宀"
"饱","飽","8","bǎo","饣"
"保","保","9","bǎo","亻"
"鸨","鴇","9","bǎo","鸟"
"珤","珤","8","bǎo",""
"堡","堡","12","bǎo","土"
"葆","葆","12","bǎo","艹"
"褓","緥","14","bǎo","衤"
"鴕","鴕","8","bǎo",""
"勹","勹","2","bāo","勹"
"包","包","5","bāo","勹"
"孢","孢","8","bāo","子"
"苞","苞","8","bāo","艹"
"胞","胞","9","bāo","月"
"剝","剝","9","bāo",""
"煲","煲","13","bāo","火"
"龅","齙","13","bāo","齿"
"褒","褒","15","bāo","衣"
"剥","剥","10","bāo","刂"
"贝","貝","4","bèi","贝"
"狈","猲","7","bèi","犭"
"邶","邶","7","bèi","阝"
"备","備","8","bèi","夂"
"鞴","鞴","19","bèi","革"
"鐾","鐾","21","bèi","金"
"背","背","9","bèi","月"
"钡","鋇","9","bèi","钅"
"倍","倍","10","bèi","亻"
"悖","悖","10","bèi","忄"
"被","被","10","bèi","衤"
"惫","憊","12","bèi","心"
"焙","焙","12","bèi","火"
"辈","輩","12","bèi","车"
"碚","碚","13","bèi","石"
"蓓","蓓","13","bèi","艹"
"褙","褙","14","bèi","衤"
"哱","哱","10","bèi","口"
"北","北","5","běi","匕"
"碑","碑","13","bēi","石"
"鹎","鵯","13","bēi","鸟"
"陂","陂","7","bēi","阝"
"卑","卑","8","bēi","十"
"杯","梘","8","bēi","木"
"悲","悲","12","bēi","忄"
"呗","唄","7","bei0","口"
"坌","坌","7","bèn","土"
"笨","笨","11","bèn","竹"
"條","條","5","bèn",""
"夲","夲","15","běn",""
"本","本","5","běn","木"
"苯","苯","8","běn","艹"
"畚","畚","10","běn","田"
"贲","賡","9","bēn","贝"
"锛","錻","13","bēn","钅"
"奔","奔","8","bēn","大"
"甭","甭","9","bénɡ","用"
"泵","泵","9","bènɡ","水"
"迸","迸","9","bènɡ","辶"
"甏","甏","16","bènɡ","瓦"
"蹦","蹦","18","bènɡ","足"
"間","鏰","16","bènɡ","钅"
"錫","錫","12","bènɡ",""
"埄","埄","5","běnɡ",""
"崩","崩","11","bēnɡ","山"
"绷","緓","11","bēnɡ","纟"
"嘣","嘣","14","bēnɡ","口"
"搒","搒","13","bēnɡ","扌"
"荸","荸","10","bí","艹"
"鼻","鼻","14","bí","鼻"
"币","幣","4","bì","巾"
"必","必","5","bì","心"
"毕","畢","6","bì","比"
"闭","閉","6","bì","门"
"坒","坒","4","bì",""
"庇","庇","7","bì","广"
"畀","畀","8","bì","田"
"哔","嗶","9","bì","口"
"毖","毖","9","bì","比"
"荜","蓽","9","bì","艹"
"陛","陛","9","bì","阝"
"毙","斃","10","bì","比"
"狴","狴","10","bì","犭"
"铋","鉭","10","bì","钅"
"婢","婢","11","bì","女"
"庳","庳","11","bì","广"
"敝","敝","11","bì","攵"
"弊","弊","14","bì","廾"
"碧","碧","14","bì","石"
"箅","箅","14","bì","竹"
"萆","萆","11","bì","艹"
"弼","弼","12","bì","弓"
"愎","愎","12","bì","忄"
"皕","皕","12","bì","白"
"筚","篳","12","bì","竹"
"滗","滗","13","bì","氵"
"痹","痹","13","bì","疒"
"痺","痺","13","bì",""
"蓖","蓖","13","bì","艹"
"裨","裨","13","bì","衤"
"跸","蹕","13","bì","足"
"蔽","蔽","14","bì","艹"
"壁","壁","16","bì","土"
"嬖","嬖","16","bì","女"
"篦","篦","16","bì","竹"
"薜","薜","16","bì","艹"
"觱","觱","16","bì","角"
"避","避","16","bì","辶"
"濞","濞","17","bì","氵"
"臂","臂","17","bì","月"
"髀","髀","17","bì","骨"
"璧","璧","18","bì","玉"
"襞","襞","19","bì","衣"
"躪","躪","17","bì",""
"賑","賑","4","bì",""
"義","義","14","bì",""
"舭","舭","10","bǐ","舟"
"啚","啚","4","bǐ",""
"鄙","鄙","13","bǐ","阝"
"匕","匕","2","bǐ","匕"
"比","比","4","bǐ","比"
"吡","吡","7","bǐ","口"
"妣","妣","7","bǐ","女"
"彼","彼","8","bǐ","彳"
"秕","粃","9","bǐ","禾"
"俾","俾","10","bǐ","亻"
"笔","筽","10","bǐ","竹"
"屄","屄","8","bī","尸"
"逼","偪","12","bī","辶"
"便","便","9","biàn","亻"
"变","變","8","biàn","又"
"卞","卞","4","biàn","卜"
"弁","覍","5","biàn","廾"
"忭","忭","7","biàn","忄"
"抃","抃","7","biàn","扌"
"汴","汴","7","biàn","氵"
"苄","苄","7","biàn","艹"
"缏","緶","12","biàn","纟"
"遍","遍","12","biàn","辶"
"辨","辨","16","biàn","辛"
"辩","辯","16","biàn","辛"
"辫","辮","17","biàn","辛"
"釆","釆","9","biǎn",""
"贬","賖","8","biǎn","贝"
"扁","扁","9","biǎn","户"
"窆","窆","9","biǎn","穴"
"匾","匾","11","biǎn","匚"
"碥","碥","14","biǎn","石"
"褊","褊","14","biǎn","衤"
"编","編","12","biān","纟"
"煸","煸","13","biān","火"
"蝙","蝙","15","biān","虫"
"鳊","鯿","17","biān","鱼"
"鞭","鞭","18","biān","革"
"边","邊","5","biān","辶"
"砭","砭","9","biān","石"
"笾","籩","11","biān","竹"
"鳔","鱞","19","biào","鱼"
"表","表","8","biǎo","衣"
"婊","婊","11","biǎo","女"
"裱","裱","13","biǎo","衤"
"襢","襢","16","biǎo","衤"
"镳","鑣","20","biāo","钅"
"摽","摽","14","biāo","扌"
"骠","驃","14","biāo","马"
"膘","臿","15","biāo","月"
"麃","麃","15","biāo","鹿"
"瘭","瘭","16","biāo","疒"
"镖","鐂","16","biāo","钅"
"飙","飆","16","biāo","风"
"飚","飈","16","biāo","风"
"彪","彪","11","biāo","彡"
"标","標","9","biāo","木"
"飑","飏","9","biāo","风"
"髟","髟","10","biāo","髟"
"藨","藨","18","biāo","艹"
"别","别","7","bié","刂"
"別","別","16","bié",""
"蹩","蹩","18","bié","足"
"瘪","皌","15","biě","疒"
"憋","憋","15","biē","心"
"鳖","鱩","19","biē","鱼"
"摈","攑","13","bìn","扌"
"殡","殯","14","bìn","歹"
"膑","臏","14","bìn","月"
"髌","髕","19","bìn","骨"
"鬓","魒","20","bìn","髟"
"镔","鑌","15","bīn","钅"
"濒","瀕","16","bīn","氵"
"豳","豳","17","bīn","豕"
"邠","邠","6","bīn","阝"
"宾","賓","10","bīn","宀"
"彬","彬","11","bīn","彡"
"傧","儐","12","bīn","亻"
"斌","斌","12","bīn","文"
"滨","瀒","13","bīn","氵"
"缤","繽","13","bīn","纟"
"槟","檳","14","bīn","木"
"玢","玢","8","bīn","王"
"摒","摒","12","bìnɡ","扌"
"并","乲","6","bìnɡ","干"
"併","併","6","bìnɡ",""
"病","病","10","bìnɡ","疒"
"疒","疒","11","bìnɡ",""
"丙","丙","5","bǐnɡ","一"
"邴","邴","7","bǐnɡ","阝"
"秉","秉","8","bǐnɡ","禾"
"柄","柄","9","bǐnɡ","木"
"炳","炳","9","bǐnɡ","火"
"饼","餅","9","bǐnɡ","饣"
"禀","禀","13","bǐnɡ","示"
"仌","仌","11","bīnɡ",""
"冰","冰","6","bīnɡ","冫"
"兵","兵","7","bīnɡ","八"
"啵","啵","11","bo","口"
"卜","蕁","2","bo","卜"
"踣","踣","15","bó","足"
"礴","礴","21","bó","石"
"脖","脖","11","bó","月"
"箔","箔","14","bó","竹"
"膊","膊","14","bó","月"
"亳","亳","10","bó","亠"
"伯","伯","7","bó","亻"
"孛","孛","7","bó","子"
"驳","駁","7","bó","马"
"帛","帛","8","bó","巾"
"泊","泊","8","bó","氵"
"勃","勃","9","bó","力"
"钹","鈸","10","bó","钅"
"铂","铂","10","bó","钅"
"舶","舶","11","bó","舟"
"博","博","12","bó","十"
"渤","渤","12","bó","氵"
"鹁","鵳","12","bó","鸟"
"搏","搏","13","bó","扌"
"譴","譴","8","bò",""
"蘺","蘺","8","bò",""
"簸","簸","19","bò","竹"
"擘","擘","17","bò","手"
"檗","檗","17","bò","木"
"跛","跛","12","bǒ","足"
"钵","鉢","10","bō","钅"
"饽","餲","10","bō","饣"
"菠","菠","11","bō","艹"
"播","播","15","bō","扌"
"玻","玻","9","bō","王"
"拨","撥","8","bō","扌"
"波","波","8","bō","氵"
"癶","癶","6","bō",""
"趵","趵","10","bō","足"
"裝","襲","10","bō","衤"
"辦","辦","8","bú",""
"醭","醭","19","bú","酉"
"不","不","4","bù","一"
"布","布","5","bù","巾"
"佈","佈","5","bù",""
"步","步","7","bù","止"
"怖","怖","8","bù","忄"
"歨","歨","4","bù",""
"钚","鈈","9","bù","钅"
"埗","埗","4","bù",""
"部","部","10","bù","阝"
"埠","埠","11","bù","土"
"瓿","瓿","12","bù","瓦"
"簿","簿","19","bù","竹"
"踶","踶","10","bù",""
"尃","尃","7","bù",""
"饃","饃","10","bù",""
"鹮","鹮","2","bǔ",""
"卟","卟","5","bǔ","卜"
"补","補","7","bǔ","衤"
"哺","哺","10","bǔ","口"
"捕","捕","10","bǔ","扌"
"逋","逋","10","bū","辶"
"钸","鈽","10","bū","钅"
"晡","晡","11","bū","日"
"鵯","鵯","18","bū","鴅"
"餵","餵","15","bū","飠"
"礤","礤","19","cǎ","石"
"擦","擦","17","cā","扌"
"才","才","3","cái","扌"
"材","材","7","cái","木"
"财","財","7","cái","贝"
"裁","裁","12","cái","衣"
"菜","菜","11","cài","艹"
"蔡","蔡","14","cài","艹"
"縩","縩","17","cài","糹"
"采","採","8","cǎi","采"
"彩","彩","11","cǎi","彡"
"睬","倸","13","cǎi","目"
"踩","踦","15","cǎi","足"
"猜","猜","11","cāi","犭"
"残","殘","9","cán","歹"
"蚕","衠","10","cán","虫"
"惭","憁","11","cán","忄"
"灿","爊","7","càn","火"
"粲","粲","13","càn","米"
"璨","璨","17","càn","王"
"惨","慿","11","cǎn","忄"
"黪","黲","20","cǎn","黑"
"参","參","8","cān","厶"
"骖","驂","11","cān","马"
"餐","飱","16","cān","飠"
"藏","藏","17","cánɡ","艹"
"舱","艙","10","cānɡ","舟"
"沧","滄","7","cānɡ","氵"
"苍","蒼","7","cānɡ","艹"
"仓","倉","4","cānɡ","人"
"曹","曹","11","cáo","曰"
"嘈","嘈","14","cáo","口"
"漕","漕","14","cáo","氵"
"槽","槽","15","cáo","木"
"艚","艚","17","cáo","舟"
"螬","螬","17","cáo","虫"
"艹","艹","11","cǎo",""
"草","苃","9","cǎo","艹"
"操","撡","16","cāo","扌"
"糙","糙","16","cāo","米"
"策","箊","12","cè","竹"
"冊","冊","9","cè",""
"册","册","5","cè","丿"
"侧","側","8","cè","亻"
"厕","廁","8","cè","厂"
"恻","惻","9","cè","忄"
"测","測","9","cè","氵"
"刂","刂","2","cè",""
"岑","岑","7","cén","山"
"梣","梣","11","cén","木"
"涔","涔","10","cén","氵"
"层","層","7","cénɡ","尸"
"曾","曾","12","cénɡ","曰"
"蹭","蹭","19","cènɡ","足"
"噌","噌","15","cēnɡ","口"
"查","查","9","chá","木"
"茬","茌","9","chá","艹"
"茶","茶","9","chá","艹"
"搽","搽","12","chá","扌"
"猹","猹","12","chá","犭"
"槎","槎","13","chá","木"
"察","詧","14","chá","宀"
"碴","碴","14","chá","石"
"檫","檫","18","chá","木"
"奼","奼","14","chà",""
"汊","汊","6","chà","氵"
"岔","岔","7","chà","山"
"诧","詫","8","chà","讠"
"剎","剎","14","chà",""
"姹","姹","9","chà","女"
"差","差","9","chà","工"
"镲","镲","19","chǎ","钅"
"衩","衩","8","chǎ","衤"
"叉","叉","3","chā","又"
"杈","杈","7","chā","木"
"臿","臿","9","chā","臼"
"插","挿","12","chā","扌"
"锸","鍤","14","chā","钅"
"嚓","嚓","17","chā","口"
"侪","儕","8","chái","亻"
"柴","柴","10","chái","木"
"豺","豺","10","chái","豸"
"虿","蠆","9","chài","虫"
"瘥","瘥","14","chài","疒"
"拆","拆","8","chāi","扌"
"钗","鈕","8","chāi","钅"
"毚","毚","14","chán",""
"蟾","蟾","19","chán","虫"
"蝉","蟬","14","chán","虫"
"廛","廛","15","chán","广"
"潺","潺","15","chán","氵"
"婵","嬋","11","chán","女"
"谗","讒","11","chán","讠"
"孱","孱","12","chán","子"
"禅","秛","12","chán","礻"
"馋","饞","12","chán","饣"
"缠","纏","13","chán","纟"
"躔","躔","22","chán","足"
"縞","縞","14","chán",""
"澶","澶","16","chán","氵"
"忏","懺","6","chàn","忄"
"颤","顫","19","chàn","页"
"羼","羼","21","chàn","尸"
"铲","鏿","11","chǎn","钅"
"阐","陁","11","chǎn","门"
"蒇","蕆","12","chǎn","艹"
"剷","剷","14","chǎn",""
"产","産","6","chǎn","亠"
"冁","囅","18","chǎn","乺"
"浐","漣","9","chǎn","氵"
"谄","諂","10","chǎn","讠"
"觇","覘","9","chān","见"
"掺","摻","11","chān","扌"
"搀","攙","12","chān","扌"
"摻","摻","14","chān","扌"
"肠","腸","7","chánɡ","月"
"苌","萶","7","chánɡ","艹"
"尝","噇","9","chánɡ","小"
"偿","偿","11","chánɡ","亻"
"常","常","11","chánɡ","巾"
"徜","徜","11","chánɡ","彳"
"长","閘","4","chánɡ","长"
"嫦","嫦","14","chánɡ","女"
"尙","尙","14","chánɡ",""
"甦","甦","4","chánɡ",""
"怅","悵","7","chànɡ","忄"
"畅","暢","8","chànɡ","田"
"倡","倡","10","chànɡ","亻"
"鬯","鬯","10","chànɡ","鬯"
"唱","唱","11","chànɡ","口"
"氅","氅","16","chǎnɡ","毛"
"厂","弒","2","chǎnɡ","厂"
"场","場","6","chǎnɡ","土"
"昶","昶","9","chǎnɡ","日"
"惝","惝","11","chǎnɡ","忄"
"敞","敞","12","chǎnɡ","攵"
"鲳","鰇","16","chānɡ","鱼"
"伥","倀","6","chānɡ","亻"
"昌","昌","8","chānɡ","日"
"娼","娼","11","chānɡ","女"
"猖","猖","11","chānɡ","犭"
"菖","菖","11","chānɡ","艹"
"阊","閶","11","chānɡ","门"
"嘲","謿","15","cháo","口"
"潮","潮","15","cháo","氵"
"晁","晁","10","cháo","日"
"巢","巢","11","cháo","巛"
"朝","朝","12","cháo","月"
"辌","辌","12","cháo",""
"耖","耖","10","chào","耒"
"吵","吵","7","chǎo","口"
"炒","炒","8","chǎo","火"
"抄","抄","7","chāo","扌"
"怊","怊","8","chāo","忄"
"钞","鈔","9","chāo","钅"
"焯","焯","12","chāo","火"
"超","超","12","chāo","走"
"頹","頹","12","chè",""
"彻","徹","7","chè","彳"
"坼","坼","8","chè","土"
"掣","掣","12","chè","手"
"撤","撤","15","chè","扌"
"澈","澈","15","chè","氵"
"扯","撦","7","chě","扌"
"砗","硨","9","chē","石"
"车","車","4","chē","车"
"伧","傖","6","chen","亻"
"尘","塵","6","chén","小"
"臣","臣","6","chén","臣"
"忱","忱","7","chén","忄"
"沉","沉","7","chén","氵"
"辰","辰","7","chén","辰"
"陈","陳","7","chén","阝"
"宸","宸","10","chén","宀"
"晨","晨","11","chén","日"
"谌","謗","11","chén","讠"
"蟟","蟟","12","chén",""
"龀","齴","10","chèn","齿"
"趁","趂","12","chèn","走"
"榇","櫬","13","chèn","木"
"衬","襯","8","chèn","衤"
"谶","谶","19","chèn","讠"
"碜","磣","13","chěn","石"
"抻","捵","8","chēn","扌"
"郴","郴","10","chēn","阝"
"琛","琛","12","chēn","王"
"嗔","嗔","13","chēn","口"
"綿","綿","14","chēn","糹"
"丞","丞","6","chénɡ","一"
"成","成","6","chénɡ","戈"
"呈","呈","7","chénɡ","口"
"承","承","8","chénɡ","手"
"枨","棖","8","chénɡ","木"
"诚","誠","8","chénɡ","讠"
"城","城","9","chénɡ","土"
"铖","鋮","11","chénɡ","钅"
"惩","懲","12","chénɡ","心"
"程","程","12","chénɡ","禾"
"裎","裎","12","chénɡ","衤"
"塍","堘","13","chénɡ","土"
"酲","酲","14","chénɡ","酉"
"澄","澂","15","chénɡ","氵"
"橙","橙","16","chénɡ","木"
"乘","乗","10","chénɡ","丿"
"埕","埕","10","chénɡ","土"
"秤","秤","10","chènɡ","禾"
"逞","逞","10","chěnɡ","辶"
"骋","騡","10","chěnɡ","马"
"撑","橕","15","chēnɡ","扌"
"瞠","瞪","16","chēnɡ","目"
"称","穛","10","chēnɡ","禾"
"柽","檉","9","chēnɡ","木"
"蛏","蟶","11","chēnɡ","虫"
"铛","鑛","11","chēnɡ","钅"
"牚","牚","12","chēnɡ","牙"
"趙","趙","13","chēnɡ","赤"
"踟","踟","15","chí","足"
"篪","竾","16","chí","竹"
"弛","弛","6","chí","弓"
"池","池","6","chí","氵"
"驰","駓","6","chí","马"
"迟","遲","7","chí","辶"
"茌","茌","8","chí","艹"
"持","持","9","chí","扌"
"墀","墀","15","chí","土"
"遷","遷","11","chí",""
"賞","賞","11","chí",""
"餾","餾","12","chì",""
"膕","膕","5","chì",""
"炽","熾","9","chì","火"
"翅","翄","10","chì","羽"
"敕","勅","11","chì","攵"
"啻","啻","12","chì","口"
"傺","傺","13","chì","亻"
"彳","彳","3","chì","彳"
"叱","叱","5","chì","口"
"斥","斥","5","chì","斤"
"赤","赤","7","chì","赤"
"饬","飭","7","chì","饣"
"瘛","瘛","15","chì","疒"
"慾","慾","5","chì",""
"褫","褫","15","chǐ","衤"
"尺","尺","4","chǐ","尸"
"侈","侈","8","chǐ","亻"
"齿","齲","8","chǐ","齿"
"耻","恥","10","chǐ","耳"
"豉","豉","11","chǐ","豆"
"胠","胠","11","chǐ",""
"螭","螭","16","chī","虫"
"魑","魑","19","chī","鬼"
"蚩","蚩","10","chī","虫"
"鸱","鴟","10","chī","鸟"
"眵","眵","11","chī","目"
"笞","笞","11","chī","竹"
"嗤","嗤","13","chī","口"
"媸","媸","13","chī","女"
"痴","皏","13","chī","疒"
"吃","喫","6","chī","口"
"哧","哧","10","chī","口"
"虫","蟲","6","chónɡ","虫"
"崇","崇","11","chónɡ","山"
"沖","沖","6","chònɡ",""
"铳","銃","11","chònɡ","钅"
"宠","寵","8","chǒnɡ","宀"
"艟","艟","18","chōnɡ","舟"
"茺","茺","9","chōnɡ","艹"
"舂","舂","11","chōnɡ","臼"
"充","充","6","chōnɡ","儿"
"冲","衝","6","chōnɡ","冫"
"忡","忡","7","chōnɡ","忄"
"憧","憧","15","chōnɡ","忄"
"惆","惆","11","chóu","忄"
"绸","緄","11","chóu","纟"
"畴","疇","12","chóu","田"
"愁","愁","13","chóu","心"
"稠","稠","13","chóu","禾"
"筹","籭","13","chóu","竹"
"酬","詶","13","chóu","酉"
"踌","躳","14","chóu","足"
"雔","雔","13","chóu",""
"仇","讎","4","chóu","亻"
"俦","儔","9","chóu","亻"
"雠","讎","18","chóu","隹"
"臭","臭","10","chòu","自"
"瞅","矁","14","chǒu","目"
"丑","醜","4","chǒu","一"
"瘳","瘳","16","chōu","疒"
"抽","抽","8","chōu","扌"
"厨","弉","12","chú","厂"
"滁","滁","12","chú","氵"
"刍","芻","5","chú","刀"
"除","除","9","chú","阝"
"锄","鋤","12","chú","钅"
"蒭","蒭","9","chú",""
"蜍","蜍","13","chú","虫"
"雏","雛","13","chú","隹"
"橱","橱","16","chú","木"
"躇","躇","18","chú","足"
"蹰","蹰","19","chú","足"
"畜","畜","10","chù","田"
"亍","亍","3","chù","二"
"触","觸","13","chù","角"
"閦","閦","18","chù",""
"搐","搐","13","chù","扌"
"怵","怵","8","chù","忄"
"绌","絠","8","chù","纟"
"憷","憷","16","chù","忄"
"黜","黜","17","chù","黑"
"矗","矗","24","chù","目"
"处","處","5","chǔ","夂"
"杵","杵","8","chǔ","木"
"础","礱","10","chǔ","石"
"储","儲","12","chǔ","亻"
"楮","楮","12","chǔ","木"
"楚","楚","13","chǔ","木"
"褚","褚","13","chǔ","衤"
"屮","屮","12","chū",""
"出","出","5","chū","凵"
"初","初","7","chū","刀"
"樗","樗","15","chū","木"
"嘬","嘬","15","chuài","口"
"踹","踹","16","chuài","足"
"膪","膪","16","chuài","月"
"搋","搋","13","chuāi","扌"
"揣","揣","12","chuāi","扌"
"船","舩","11","chuán","舟"
"遄","遄","12","chuán","辶"
"椽","椽","13","chuán","木"
"传","傳","6","chuán","亻"
"舡","舡","9","chuán","舟"
"串","串","7","chuàn","丨"
"钏","鈇","8","chuàn","钅"
"舛","舛","6","chuǎn","夕"
"喘","喘","12","chuǎn","口"
"莊","莊","9","chuǎn","艹"
"巛","巛","12","chuān",""
"川","川","3","chuān","川"
"氚","氚","7","chuān","气"
"穿","穿","9","chuān","穴"
"床","牀","7","chuánɡ","广"
"创","創","6","chuànɡ","刂"
"怆","愴","7","chuànɡ","忄"
"闯","阩","6","chuǎnɡ","门"
"疮","瘡","9","chuānɡ","疒"
"窗","窓","12","chuānɡ","穴"
"垂","垂","8","chuí","土"
"陲","陲","10","chuí","阝"
"捶","搥","11","chuí","扌"
"棰","箠","12","chuí","木"
"槌","槌","13","chuí","木"
"锤","錸","13","chuí","钅"
"吹","吹","7","chuī","口"
"炊","炊","8","chuī","火"
"鰆","鰆","20","chun","魚"
"醇","醕","15","chún","酉"
"纯","純","7","chún","纟"
"唇","脣","10","chún","口"
"莼","蒾","10","chún","艹"
"淳","湻","11","chún","氵"
"鹑","鶉","13","chún","鸟"
"蠢","惷","21","chǔn","虫"
"椿","椿","13","chūn","木"
"蝽","蝽","15","chūn","虫"
"春","萵","9","chūn","日"
"啜","啜","11","chuò","口"
"辵","辵","7","chuò","辵"
"辍","輟","12","chuò","车"
"龊","齪","15","chuò","齿"
"媠","媠","11","chuò","女"
"绰","綽","11","chuō","纟"
"踔","踔","15","chuō","足"
"戳","戳","18","chuō","戈"
"祠","祠","9","cí","礻"
"词","詞","7","cí","讠"
"茨","茨","9","cí","艹"
"慈","慈","13","cí","心"
"辞","辭","13","cí","辛"
"磁","磁","14","cí","石"
"雌","雌","14","cí","隹"
"鹚","鷀","14","cí","鸟"
"糍","餈","15","cí","米"
"瓷","畁","10","cí","瓦"
"朿","朿","11","cì",""
"次","次","6","cì","欠"
"佽","佽","8","cì","亻"
"刺","刺","8","cì","刂"
"莿","莿","8","cì",""
"絘","絘","8","cì",""
"赐","賜","12","cì","贝"
"此","此","6","cǐ","止"
"呲","齜","9","cī","口"
"疵","疵","11","cī","疒"
"从","従","4","cónɡ","人"
"丛","叢","5","cónɡ","一"
"淙","淙","11","cónɡ","氵"
"琮","琮","12","cónɡ","王"
"聪","聰","15","cōnɡ","耳"
"璁","璁","15","cōnɡ","王"
"匆","恠","5","cōnɡ","勹"
